instance,training_time_s,final_reward,mean_reward_last100
1,530.9605948925018,-4.428476810455322,-4.038154602050781
2,477.6565957069397,-6.095301151275635,-5.54693603515625
3,494.14741492271423,-5.157507419586182,-5.507376670837402
4,481.0298421382904,-5.189414978027344,-5.151369571685791
5,473.86121225357056,-5.462791442871094,-5.200974941253662
